2020-08-30 20:04:06.037505	2020-08-30 20:04:06.037512	rero	A000070488	R	rec	ec68893f-d583-4919-838b-0cc6f3cb8f10
2020-08-30 20:04:06.169768	2020-08-30 20:04:06.169774	rero	A023655346	R	rec	879335a1-baea-4060-bb93-08a6046a2122
2020-08-30 20:04:06.304545	2020-08-30 20:04:06.30455	rero	A017671081	R	rec	c5b775c8-2b56-4c30-9dcc-eb5fae1aede7
2020-08-30 20:04:06.39652	2020-08-30 20:04:06.396526	rero	A000065776	R	rec	46b574d4-4716-4cda-a6fd-795b64d6a8b8
2020-08-30 20:04:06.492789	2020-08-30 20:04:06.492795	rero	A022480124	R	rec	faf122c7-4d6d-45c3-8bec-f98c2f167990
2020-08-30 20:04:06.631952	2020-08-30 20:04:06.631958	rero	A009535178	R	rec	7612c0ac-b97d-4a2f-bdac-4040817931b7
2020-08-30 20:04:06.727179	2020-08-30 20:04:06.727185	rero	A021799923	R	rec	38c686c5-8f1f-4a01-9b39-cacf9bf74dc8
2020-08-30 20:04:06.808065	2020-08-30 20:04:06.808071	rero	A017991779	R	rec	05a9bedc-f1de-493a-a456-c8a9469e81d9
2020-08-30 20:04:06.918117	2020-08-30 20:04:06.918123	rero	A005591402	R	rec	061e7fda-5a6a-4536-9699-daaf680232e8
2020-08-30 20:04:07.041816	2020-08-30 20:04:07.041821	rero	A024285452	R	rec	7069b0c8-e3d3-4fbf-acfd-e5efd61b4b4c
2020-08-30 20:04:07.139248	2020-08-30 20:04:07.139253	rero	A000009346	R	rec	8b2d6eb7-420c-43f1-980c-ecbbabbbadba
