2023-04-26 05:33:06.798510+00:00	2023-04-26 05:33:06.798510+00:00	agrero	A000009346	R	rec	63fc52ac-9667-45ce-949b-c3bf644c96fa
2023-04-26 05:33:06.798588+00:00	2023-04-26 05:33:06.798588+00:00	agrero	A000065776	R	rec	25ec343c-0737-4598-b4c9-50528d3309ed
2023-04-26 05:33:06.798649+00:00	2023-04-26 05:33:06.798649+00:00	agrero	A000070488	R	rec	9325c95f-e55f-48be-b27b-ee698868d0a3
2023-04-26 05:33:06.798685+00:00	2023-04-26 05:33:06.798685+00:00	agrero	A003671569	R	rec	7c0c6ef8-892e-475a-848b-3445dbcd873c
2023-04-26 05:33:06.798718+00:00	2023-04-26 05:33:06.798718+00:00	agrero	A005353099	R	rec	075f77e6-5446-446d-b8ec-47d293af91bc
2023-04-26 05:33:06.798748+00:00	2023-04-26 05:33:06.798748+00:00	agrero	A005464637	R	rec	dd38486c-cd90-4c08-b831-7313a6439630
2023-04-26 05:33:06.798781+00:00	2023-04-26 05:33:06.798781+00:00	agrero	A005472911	R	rec	51c97ca1-2224-4d55-bc2b-b79df2a05388
2023-04-26 05:33:06.798809+00:00	2023-04-26 05:33:06.798809+00:00	agrero	A005591402	R	rec	3864f7be-91fe-4eb0-850d-96e247ab6f6e
2023-04-26 05:33:06.798835+00:00	2023-04-26 05:33:06.798835+00:00	agrero	A009238698	R	rec	d5422150-cb83-4192-817a-e3f298c0e3a7
2023-04-26 05:33:06.798859+00:00	2023-04-26 05:33:06.798859+00:00	agrero	A009535178	R	rec	a18ab156-3c63-40f5-bf16-b5481da826f8
2023-04-26 05:33:06.798892+00:00	2023-04-26 05:33:06.798892+00:00	agrero	A009962747	R	rec	537ff43e-9dfd-4624-ae1f-53c4f09e5c92
2023-04-26 05:33:06.798954+00:00	2023-04-26 05:33:06.798954+00:00	agrero	A012320736	R	rec	02a34af8-14da-4e73-bfd0-cef7511eaf72
2023-04-26 05:33:06.798981+00:00	2023-04-26 05:33:06.798981+00:00	agrero	A017671081	R	rec	c609e906-9afc-4406-ada8-16ce79756c8b
2023-04-26 05:33:06.799009+00:00	2023-04-26 05:33:06.799009+00:00	agrero	A017991779	R	rec	55f6096b-ebf6-4bde-b072-91618f21db01
2023-04-26 05:33:06.799037+00:00	2023-04-26 05:33:06.799037+00:00	agrero	A021799923	R	rec	0a13e4ad-a894-4f94-b8fb-b6525f246f3e
2023-04-26 05:33:06.799063+00:00	2023-04-26 05:33:06.799063+00:00	agrero	A022480124	R	rec	bdb461eb-e01d-46df-9ed8-ad52029b86ae
2023-04-26 05:33:06.799090+00:00	2023-04-26 05:33:06.799090+00:00	agrero	A023655346	R	rec	c21f165c-902e-4e61-ae97-3c82aba1759c
2023-04-26 05:33:06.799117+00:00	2023-04-26 05:33:06.799117+00:00	agrero	A024285452	R	rec	1da3b822-635b-4ba4-8735-f63d9d486152
2023-04-26 05:33:06.799140+00:00	2023-04-26 05:33:06.799140+00:00	agrero	A027454547	R	rec	249a9b8d-7279-4d28-888a-5a7dd0a56304
2023-04-26 05:33:06.799175+00:00	2023-04-26 05:33:06.799175+00:00	agrero	A028240818	R	rec	f80a0c5c-a4cb-4485-b218-e2f07381ec1e
